Form,Org,Total Fields,Composed Fields,Coverage %,Pages,Uncomposed Dates,Generic Names,Raw XFA Names,Case Duplicates,Undescribed Booleans,High-Severity Issues,Total Issues,Needs Rework
VA40-0895-6,nca,6,6,100,1,0,0,0,0,0,0,0,
VA40-0895-7,nca,5,2,40,2,0,0,0,0,0,0,0,
VA40-0895-8,nca,10,6,60,2,0,0,0,0,0,0,0,
VA40-0895-9,nca,4,3,75,1,0,0,0,0,0,0,0,
VA40-4970,nca,50,0,0,2,0,0,0,0,0,0,0,
VA40-4987,nca,16,7,44,1,0,0,0,0,0,0,0,
VA Form 40-10190,nca,12,10,83,1,0,0,0,0,0,0,0,
Facilities Inspection Report - General,facilities,15,15,100,1,0,0,0,0,0,0,0,
FL-10-212,facilities,28,4,14,1,0,0,0,0,0,0,0,
FL-10-212LP,facilities,28,4,14,2,0,0,0,0,0,0,0,
FL-10-215,facilities,7,1,14,2,0,0,0,0,0,0,0,
Space Assignment Record,facilities,15,15,100,1,0,0,0,0,0,0,0,
Work Order Request,facilities,15,15,100,2,0,0,0,0,0,0,0,
Work Order Request - Supplemental,facilities,15,15,100,1,0,0,0,0,0,0,0,
Facility Condition Assessment,facilities,15,15,100,2,0,0,0,0,0,0,0,
Equipment Inventory Record,facilities,15,15,100,1,0,0,0,0,0,0,0,
FL-10-332,facilities,7,2,29,1,0,0,0,0,0,0,0,
FL-10-332a,facilities,7,2,29,1,0,0,0,0,0,0,0,
FL-10-341a,facilities,7,0,0,2,0,0,0,0,0,0,0,
Supply Chain Activity Log,facilities,15,15,100,1,0,0,0,0,0,0,0,
Engineering Service Work Record,facilities,15,15,100,2,0,0,0,0,0,0,0,
Maintenance Work Request,facilities,15,15,100,1,0,0,0,0,0,0,0,
Building Management Report,facilities,15,15,100,2,0,0,0,0,0,0,0,
Environmental Services Inspection,facilities,15,15,100,1,0,0,0,0,0,0,0,
Fire Prevention Inspection Report,facilities,15,15,100,1,0,0,0,0,0,0,0,
FL-10-426,facilities,4,0,0,1,0,0,0,0,0,0,0,
Grounds Maintenance Record,facilities,15,15,100,2,0,0,0,0,0,0,0,
Facility Safety Inspection,facilities,15,15,100,1,0,0,0,0,0,0,0,
Energy Management Report,facilities,15,15,100,1,0,0,0,0,0,0,0,
Waste Management Record,facilities,15,15,100,1,0,0,0,0,0,0,0,
Vehicle Fleet Maintenance Log,facilities,15,15,100,1,0,0,0,0,0,0,0,
Equipment Calibration Record,facilities,15,15,100,1,0,0,0,0,0,0,0,
Telecommunications Service Request,facilities,15,15,100,1,0,0,0,0,0,0,0,
FL-10-55,facilities,9,5,56,1,0,0,0,0,0,0,0,
Construction Progress Report,facilities,15,15,100,1,0,0,0,0,0,0,0,
Facilities Planning Record,facilities,15,15,100,1,0,0,0,0,0,0,0,
FL-10-90,facilities,28,22,79,2,0,0,0,0,0,0,0,
Equipment Inventory Record,facilities,15,15,100,1,0,0,0,0,0,0,0,
FL1-28,facilities,5,1,20,2,0,0,0,0,0,0,0,
FL1-28a,facilities,5,5,100,1,0,0,0,0,0,0,0,
FL70-2,facilities,19,13,68,1,0,0,0,0,0,0,0,
FL 4-437,facilities,3,2,67,1,0,0,0,0,0,0,0,
20-8800,vba,84,22,26,1,0,0,0,0,0,0,0,
21-22,vba,63,53,84,4,0,0,0,0,0,0,0,
21-4142a,vba,96,57,59,2,0,0,0,0,0,0,0,
21-651,vba,7,5,71,1,0,0,0,0,0,0,0,
21-6898,vba,184,87,47,4,0,0,0,0,0,0,0,
21P-0571,vba,74,58,78,2,0,0,0,0,0,0,0,
21P-4185,vba,77,67,87,2,0,0,0,0,0,0,0,
21P-4718a,vba,47,20,43,2,0,0,0,0,0,0,0,
21P-535,vba,222,106,48,10,0,0,0,0,0,0,0,
22-0803,vba,40,10,25,2,0,0,0,0,0,0,0,
22-0848,vba,27,20,74,2,0,0,0,0,0,0,0,
22-0993,vba,5,5,100,1,0,0,0,0,0,0,0,
22-10215a,vba,126,10,8,2,0,0,0,0,0,0,0,
22-10216,vba,11,7,64,2,0,0,0,0,0,0,0,
22-1919,vba,11,7,64,1,0,0,0,0,0,0,0,
22-1999c,vba,9,7,78,2,0,0,0,0,0,0,0,
22-6553c,vba,54,17,31,2,0,0,0,0,0,0,0,
22-8691,vba,46,25,54,2,0,0,0,0,0,0,0,
22-8864,vba,142,80,56,5,0,0,0,0,0,0,0,
22-8865,vba,47,20,43,2,0,0,0,0,0,0,0,
26-0503,vba,2,2,100,1,0,0,0,0,0,0,0,
26-0551,vba,10,0,0,1,0,0,0,0,0,0,0,
26-0785,vba,17,2,12,2,0,0,0,0,0,0,0,
26-0829,vba,17,9,53,2,0,0,0,0,0,0,0,
26-0967,vba,9,4,44,2,0,0,0,0,0,0,0,
26-0967a,vba,6,4,67,6,0,0,0,0,0,0,0,
26-10284,vba,73,8,11,3,0,0,0,0,0,0,0,
26-1833,vba,56,26,46,1,0,0,0,0,0,0,0,
26-1859,vba,14,11,79,1,0,0,0,0,0,0,0,
26-6363,vba,70,25,36,10,0,0,0,0,0,0,0,
26-6705,vba,72,22,31,2,0,0,0,0,0,0,0,
26-6705b,vba,170,46,27,2,0,0,0,0,0,0,0,
26-6705d,vba,28,10,36,1,0,0,0,0,0,0,0,
26-6807a,vba,7,5,71,1,0,0,0,0,0,0,0,
26-6808,vba,111,42,38,2,0,0,0,0,0,0,0,
26-8106,vba,4,3,75,1,0,0,0,0,0,0,0,
26-8497,vba,62,3,5,1,0,0,0,0,0,0,0,
26-8497a,vba,69,9,13,1,0,0,0,0,0,0,0,
26-8629,vba,101,39,39,2,0,0,0,0,0,0,0,
26-8630,vba,126,32,25,2,0,0,0,0,0,0,0,
26-8641a,vba,51,5,10,1,0,0,0,0,0,0,0,
26-8712,vba,94,33,35,1,0,0,0,0,0,0,0,
26-8730,vba,19,5,26,1,0,0,0,0,0,0,0,
26-8731b,vba,12,4,33,1,0,0,0,0,0,0,0,
26-8844,vba,171,74,43,2,0,0,0,0,0,0,0,
26-8923,vba,28,12,43,1,0,0,0,0,0,0,0,
28-0588,vba,4,3,75,2,0,0,0,0,0,0,0,
29-0543,vba,32,14,44,2,0,0,0,0,0,0,0,
29-357,vba,122,70,57,3,0,0,0,0,0,0,0,
29-586,vba,18,12,67,1,0,0,0,0,0,0,0,
29-8636,vba,36,17,47,3,0,0,0,0,0,0,0,
29-888,vba,16,8,50,2,0,0,0,0,0,0,0,
